date_local,datetime_local,datetime_utc,jd_ut,body,longitude_deg,sign,deg,arcmin,arcsec,retrograde
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Sun,251.06650091,Sagittarius,11,3,59.40,false
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Moon,42.97594713,Taurus,12,58,33.41,false
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Mercury,231.58464282,Scorpio,21,35,4.71,false
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Venus,242.71231278,Sagittarius,2,42,44.33,false
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Mars,260.77954260,Sagittarius,20,46,46.35,false
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Jupiter,114.40220002,Cancer,24,24,7.92,true
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Saturn,355.17863592,Pisces,25,10,43.09,false
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Uranus,58.96944496,Taurus,28,58,10.00,true
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Neptune,359.38838202,Pisces,29,23,18.18,true
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Pluto,301.94603518,Aquarius,1,56,45.73,false
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,True Node,344.07684340,Pisces,14,4,36.64,true
2025-12-03,2025-12-03T00:00+00:00,2025-12-03T00:00+00:00,2461012.500000,Chiron,23.02889826,Aries,23,1,44.03,true
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Sun,251.10873750,Sagittarius,11,6,31.45,false
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Moon,43.60624297,Taurus,13,36,22.47,false
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Mercury,231.60612876,Scorpio,21,36,22.06,false
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Venus,242.76470599,Sagittarius,2,45,52.94,false
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Mars,260.81051569,Sagittarius,20,48,37.86,false
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Jupiter,114.39931619,Cancer,24,23,57.54,true
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Saturn,355.17900105,Pisces,25,10,44.40,false
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Uranus,58.96775242,Taurus,28,58,3.91,true
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Neptune,359.38820522,Pisces,29,23,17.54,true
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Pluto,301.94696261,Aquarius,1,56,49.07,false
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,True Node,344.07027475,Pisces,14,4,12.99,true
2025-12-03,2025-12-03T01:00+00:00,2025-12-03T01:00+00:00,2461012.541667,Chiron,23.02776949,Aries,23,1,39.97,true
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Sun,251.15097460,Sagittarius,11,9,3.51,false
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Moon,44.23701642,Taurus,14,14,13.26,false
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Mercury,231.62784577,Scorpio,21,37,40.24,false
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Venus,242.81709939,Sagittarius,2,49,1.56,false
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Mars,260.84149033,Sagittarius,20,50,29.37,false
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Jupiter,114.39642722,Cancer,24,23,47.14,true
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Saturn,355.17936933,Pisces,25,10,45.73,false
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Uranus,58.96606030,Taurus,28,57,57.82,true
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Neptune,359.38802944,Pisces,29,23,16.91,true
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Pluto,301.94789071,Aquarius,1,56,52.41,false
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,True Node,344.06365086,Pisces,14,3,49.14,true
2025-12-03,2025-12-03T02:00+00:00,2025-12-03T02:00+00:00,2461012.583333,Chiron,23.02664209,Aries,23,1,35.91,true
2025-12-03,2025-12-03T03:00+00:00,2025-12-03T03:00+00:00,2461012.625000,Sun,251.19321221,Sagittarius,11,11,35.56,false
2025-12-03,2025-12-03T03:00+00:00,2025-12-03T03:00+00:00,2461012.625000,Moon,44.86825631,Taurus,14,52,5.72,false
2025-12-03,2025-12-03T03:00+00:00,2025-12-03T03:00+00:00,2461012.625000,Mercury,231.64979280,Scorpio,21,38,59.25,false
2025-12-03,2025-12-03T03:00+00:00,2025-12-03T03:00+00:00,2461012.625000,Venus,242.86949299,Sagittarius,2,52,10.17,false
